olympic_record_id,athlete_name,age,year,medal,country,sport,event
584,"Catherine Northcutt ""Catie"" Ball (-Condon)",17.0,1968,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
585,Lloy James Ball,36.0,2008,Gold,United States,Volleyball,Volleyball Men's Volleyball
586,Flicia Michele Sylviane Ballanger (-Vetu),25.0,1996,Gold,France,Cycling,Cycling Women's Sprint
587,Flicia Michele Sylviane Ballanger (-Vetu),29.0,2000,Gold,France,Cycling,Cycling Women's Sprint
588,Flicia Michele Sylviane Ballanger (-Vetu),29.0,2000,Gold,France,Cycling,Cycling Women's 500 metres Time Trial
589,Ivar Eugen Ballangrud (Eriksen-),23.0,1928,Gold,Norway,Speed Skating,"Speed Skating Men's 5,000 metres"
590,Ivar Eugen Ballangrud (Eriksen-),31.0,1936,Gold,Norway,Speed Skating,Speed Skating Men's 500 metres
591,Ivar Eugen Ballangrud (Eriksen-),31.0,1936,Gold,Norway,Speed Skating,"Speed Skating Men's 5,000 metres"
592,Ivar Eugen Ballangrud (Eriksen-),31.0,1936,Gold,Norway,Speed Skating,"Speed Skating Men's 10,000 metres"
593,Daniel Ballart Sans,23.0,1996,Gold,Spain,Water Polo,Water Polo Men's Water Polo
594,Jos Luis Ballester Tuliesa,27.0,1996,Gold,Spain,Sailing,Sailing Mixed Multihull
595,"Suzanne Elspeth ""Suzy"" Balogh",31.0,2004,Gold,Australia,Shooting,Shooting Women's Trap
596,"Samuel J. ""Sam"" Balter, Jr.",26.0,1936,Gold,United States,Basketball,Basketball Men's Basketball
598,Flix Balyu,28.0,1920,Gold,Belgium,Football,Football Men's Football
599,Guido Balzarini,49.0,1924,Gold,Italy,Fencing,"Fencing Men's Sabre, Team"
600,Oana Mihaela Ban,18.0,2004,Gold,Romania,Gymnastics,Gymnastics Women's Team All-Around
601,"Edward Joseph ""Ed"" Banach",24.0,1984,Gold,United States,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
602,Lou David Banach,24.0,1984,Gold,United States,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
603,Willy Bandholz,24.0,1936,Gold,Germany,Handball,Handball Men's Handball
604,"Voldimars ""Valdemar"" Bandolowski",30.0,1976,Gold,Denmark,Sailing,Sailing Mixed Three Person Keelboat
605,"Voldimars ""Valdemar"" Bandolowski",34.0,1980,Gold,Denmark,Sailing,Sailing Mixed Three Person Keelboat
606,ver Maximiliano David Banega,20.0,2008,Gold,Argentina,Football,Football Men's Football
607,Bang Su-Hyeon,23.0,1996,Gold,South Korea,Badminton,Badminton Women's Singles
608,Jesper Bank,35.0,1992,Gold,Denmark,Sailing,Sailing Mixed Three Person Keelboat
609,Jesper Bank,43.0,2000,Gold,Denmark,Sailing,Sailing Mixed Three Person Keelboat
610,Helmut Bantz,35.0,1956,Gold,Germany,Gymnastics,Gymnastics Men's Horse Vault
611,Carina Br,26.0,2016,Gold,Germany,Rowing,Rowing Women's Quadruple Sculls
612,Samir Bara,38.0,2012,Gold,Croatia,Water Polo,Water Polo Men's Water Polo
613,Xavier Barachet,23.0,2012,Gold,France,Handball,Handball Men's Handball
614,Primo Baran,25.0,1968,Gold,Italy,Rowing,Rowing Men's Coxed Pairs
